# Fictitious rainfall per month from 1900 to 2012 in three cities
# Format: year, month, city 1 rainfall, city 2 rainfall, city 3 rainfall
1900, 1, 58, 60, 40
1900, 2, 48, 101, 47
1900, 3, 58, 90, 25
1900, 4, 59, 81, 33
1900, 5, 51, 90, 24
1900, 6, 91, 92, 55
1900, 7, 92, 124, 34
1900, 8, 89, 124, 30
1900, 9, 50, 89, 16
1900, 10, 69, 100, 55
1900, 11, 78, 86, 15
1900, 12, 63, 62, 30
1901, 1, 34, 56, 50
1901, 2, 31, 93, 54
1901, 3, 72, 98, 34
1901, 4, 88, 104, 18
1901, 5, 66, 107, 20
1901, 6, 121, 123, 34
1901, 7, 100, 133, 46
1901, 8, 129, 90, 64
1901, 9, 98, 75, 56
1901, 10, 77, 84, 56
1901, 11, 42, 62, 38
1901, 12, 62, 94, 22
1902, 1, 58, 80, 37
1902, 2, 43, 56, 16
1902, 3, 53, 92, 9
1902, 4, 81, 87, 33
1902, 5, 85, 86, 60
1902, 6, 98, 98, 32
1902, 7, 100, 100, 54
1902, 8, 107, 116, 69
1902, 9, 86, 101, 43
1902, 10, 71, 112, 34
1902, 11, 43, 61, 7
1902, 12, 30, 77, 21
1903, 1, 38, 89, 12
1903, 2, 43, 95, 29
1903, 3, 67, 81, 49
1903, 4, 59, 104, 32
1903, 5, 79, 80, 64
1903, 6, 117, 123, 53
1903, 7, 104, 101, 49
1903, 8, 111, 137, 56
1903, 9, 68, 72, 23
1903, 10, 81, 100, 62
1903, 11, 68, 67, 50
1903, 12, 34, 76, 42
1904, 1, 65, 66, 33
1904, 2, 41, 95, 18
1904, 3, 46, 101, 31
1904, 4, 53, 72, 32
1904, 5, 82, 104, 52
1904, 6, 123, 102, 32
1904, 7, 109, 127, 30
1904, 8, 100, 114, 67
1904, 9, 91, 99, 45
1904, 10, 79, 84, 62
1904, 11, 38, 86, 30
1904, 12, 71, 56, 14
1905, 1, 59, 64, 39
1905, 2, 75, 73, 32
1905, 3, 30, 102, 36
1905, 4, 86, 83, 39
1905, 5, 93, 66, 31
1905, 6, 118, 137, 36
1905, 7, 129, 95, 31
1905, 8, 104, 128, 56
1905, 9, 59, 87, 61
1905, 10, 54, 86, 56
1905, 11, 46, 78, 51
1905, 12, 57, 94, 47
1906, 1, 75, 79, 17
1906, 2, 72, 91, 44
1906, 3, 52, 77, 32
1906, 4, 63, 94, 41
1906, 5, 83, 92, 48
1906, 6, 121, 98, 65
1906, 7, 93, 129, 60
1906, 8, 104, 100, 48
1906, 9, 90, 102, 59
1906, 10, 58, 74, 42
1906, 11, 52, 57, 9
1906, 12, 53, 87, 28
1907, 1, 74, 82, 50
1907, 2, 45, 76, 10
1907, 3, 38, 62, 37
1907, 4, 58, 93, 59
1907, 5, 66, 69, 21
1907, 6, 102, 112, 42
1907, 7, 125, 129, 30
1907, 8, 108, 128, 51
1907, 9, 81, 98, 23
1907, 10, 58, 84, 45
1907, 11, 68, 70, 51
1907, 12, 70, 76, 29
1908, 1, 49, 75, 11
1908, 2, 56, 73, 45
1908, 3, 79, 93, 29
1908, 4, 93, 82, 39
1908, 5, 70, 87, 52
1908, 6, 113, 107, 34
1908, 7, 120, 97, 40
1908, 8, 92, 95, 74
1908, 9, 88, 83, 16
1908, 10, 57, 67, 33
1908, 11, 30, 55, 12
1908, 12, 37, 85, 54
1909, 1, 67, 79, 47
1909, 2, 68, 101, 7
1909, 3, 59, 94, 14
1909, 4, 58, 93, 49
1909, 5, 79, 71, 32
1909, 6, 129, 126, 68
1909, 7, 82, 138, 52
1909, 8, 96, 124, 73
1909, 9, 85, 72, 27
1909, 10, 92, 107, 61
1909, 11, 42, 97, 51
1909, 12, 31, 96, 33
1910, 1, 71, 104, 27
1910, 2, 76, 103, 6
1910, 3, 53, 70, 13
1910, 4, 71, 102, 37
1910, 5, 63, 96, 34
1910, 6, 112, 106, 59
1910, 7, 81, 94, 28
1910, 8, 98, 107, 26
1910, 9, 63, 77, 21
1910, 10, 60, 72, 39
1910, 11, 36, 66, 12
1910, 12, 62, 99, 36
1911, 1, 78, 101, 48
1911, 2, 35, 61, 38
1911, 3, 48, 86, 24
1911, 4, 78, 93, 31
1911, 5, 90, 92, 49
1911, 6, 89, 115, 64
1911, 7, 129, 90, 46
1911, 8, 88, 116, 35
1911, 9, 91, 109, 64
1911, 10, 95, 78, 45
1911, 11, 55, 103, 8
1911, 12, 36, 79, 10
1912, 1, 30, 90, 15
1912, 2, 49, 76, 37
1912, 3, 79, 68, 45
1912, 4, 74, 90, 52
1912, 5, 61, 99, 30
1912, 6, 112, 93, 39
1912, 7, 88, 110, 48
1912, 8, 99, 138, 47
1912, 9, 92, 93, 56
1912, 10, 86, 98, 46
1912, 11, 31, 104, 14
1912, 12, 60, 101, 19
1913, 1, 71, 103, 37
1913, 2, 42, 104, 26
1913, 3, 68, 66, 31
1913, 4, 81, 108, 57
1913, 5, 77, 88, 64
1913, 6, 98, 94, 46
1913, 7, 127, 111, 36
1913, 8, 91, 95, 48
1913, 9, 51, 110, 23
1913, 10, 77, 73, 46
1913, 11, 36, 103, 11
1913, 12, 45, 66, 40
1914, 1, 55, 78, 21
1914, 2, 40, 80, 6
1914, 3, 71, 84, 12
1914, 4, 56, 111, 23
1914, 5, 79, 84, 17
1914, 6, 124, 105, 62
1914, 7, 121, 95, 68
1914, 8, 81, 121, 37
1914, 9, 64, 65, 52
1914, 10, 56, 106, 27
1914, 11, 53, 97, 52
1914, 12, 75, 104, 39
1915, 1, 37, 86, 6
1915, 2, 74, 85, 30
1915, 3, 75, 77, 49
1915, 4, 72, 104, 37
1915, 5, 88, 95, 41
1915, 6, 111, 122, 53
1915, 7, 112, 108, 43
1915, 8, 119, 107, 51
1915, 9, 85, 95, 43
1915, 10, 76, 69, 48
1915, 11, 42, 88, 48
1915, 12, 42, 68, 13
1916, 1, 70, 100, 30
1916, 2, 64, 77, 10
1916, 3, 45, 104, 26
1916, 4, 74, 98, 53
1916, 5, 52, 86, 26
1916, 6, 105, 139, 56
1916, 7, 123, 90, 36
1916, 8, 87, 99, 32
1916, 9, 73, 107, 30
1916, 10, 79, 109, 51
1916, 11, 45, 69, 43
1916, 12, 62, 85, 11
1917, 1, 73, 87, 5
1917, 2, 61, 102, 18
1917, 3, 48, 71, 50
1917, 4, 83, 95, 33
1917, 5, 97, 102, 38
1917, 6, 117, 114, 66
